name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,31359,4.56s,76.53us,860.00ns,76.85us,3.08us,73.11us,128.01us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,23952,12086,4.51s,247.77us,900.00ns,248.17us,1.50us,244.95us,265.42us
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,23952,12046,4.51s,247.66us,635.00ns,249.01us,6.27us,245.78us,391.55us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,96481,4.56s,21.46us,210.00ns,21.52us,521.00ns,20.26us,40.09us
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,97432,4.56s,21.15us,210.00ns,21.21us,519.00ns,20.10us,44.05us
curated/12-dictionary/single,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,61436,32811,4.56s,91.18us,219.00ns,91.39us,884.00ns,90.66us,105.32us
curated/12-dictionary/single,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,61436,31517,4.56s,95.17us,549.00ns,95.14us,669.00ns,94.18us,115.53us
curated/12-dictionary/multi,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,61436,8566,4.56s,350.34us,891.00ns,350.20us,2.26us,342.73us,437.68us
curated/12-dictionary/multi,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,61436,8717,4.56s,342.84us,1.57us,344.12us,4.36us,337.96us,373.00us
curated/12-dictionary/compile-single,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,311,4.56s,9.57ms,53.57us,9.56ms,73.43us,9.41ms,9.77ms
curated/12-dictionary/compile-single,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,299,4.51s,9.93ms,28.05us,9.93ms,50.43us,9.80ms,10.13ms
curated/12-dictionary/compile-multi,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,8,5.11s,18.97ms,54.19us,18.97ms,95.95us,18.85ms,19.16ms
curated/12-dictionary/compile-multi,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,8,5.11s,20.59ms,60.95us,20.61ms,74.66us,20.50ms,20.74ms
curated/13-noseyparker/single,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32514634,9,5.11s,369.57ms,1.18ms,362.73ms,8.34ms,352.58ms,370.75ms
curated/13-noseyparker/single,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32514634,9,4.96s,356.56ms,6.69ms,353.30ms,8.45ms,341.23ms,363.25ms
curated/13-noseyparker/multi,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32514634,7,4.96s,447.89ms,7.43ms,445.24ms,11.85ms,426.20ms,461.17ms
curated/13-noseyparker/multi,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32514634,7,4.81s,439.45ms,6.69ms,435.26ms,10.84ms,414.46ms,446.29ms
curated/13-noseyparker/compile-single,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,379,4.51s,2.68ms,20.53us,2.69ms,46.08us,2.63ms,2.90ms
curated/13-noseyparker/compile-single,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,399,4.56s,2.78ms,25.20us,2.79ms,43.57us,2.70ms,3.00ms
curated/13-noseyparker/compile-multi,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,252,4.51s,3.26ms,9.96us,3.26ms,16.15us,3.21ms,3.30ms
curated/13-noseyparker/compile-multi,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,250,4.56s,3.22ms,18.42us,3.24ms,183.51us,3.18ms,6.09ms
curated/14-quadratic/1x,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,100,384908,4.68s,7.73us,29.00ns,7.74us,542.00ns,7.65us,152.76us
curated/14-quadratic/1x,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,100,379436,4.68s,7.85us,30.00ns,7.86us,117.00ns,7.70us,20.00us
curated/14-quadratic/2x,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,200,106380,4.57s,28.14us,119.00ns,28.15us,242.00ns,27.75us,38.54us
curated/14-quadratic/2x,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,200,106161,4.57s,27.82us,211.00ns,28.21us,1.08us,27.53us,86.25us
curated/14-quadratic/10x,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1000,4760,4.51s,629.92us,1.02us,630.27us,1.67us,625.22us,642.06us
curated/14-quadratic/10x,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1000,4712,4.51s,638.29us,1.76us,636.74us,3.81us,627.85us,655.62us
dictionary/compile/english,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,13,4.86s,238.56ms,1.97ms,238.79ms,2.68ms,234.95ms,245.54ms
dictionary/compile/english,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,13,4.86s,237.49ms,2.02ms,238.96ms,3.54ms,234.58ms,247.80ms
dictionary/compile/english-10,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,33,4.56s,90.65ms,1.24ms,90.94ms,1.81ms,87.39ms,95.97ms
dictionary/compile/english-10,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,33,4.61s,91.46ms,687.01us,91.45ms,1.54ms,88.13ms,95.54ms
dictionary/compile/english-15,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,306,4.56s,9.69ms,28.24us,9.70ms,49.49us,9.62ms,9.93ms
dictionary/compile/english-15,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,297,4.56s,10.01ms,53.70us,10.02ms,279.14us,9.74ms,14.40ms
dictionary/search/english,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,61436,4635,4.81s,646.16us,2.25us,647.25us,18.97us,638.90us,1.56ms
dictionary/search/english,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,61436,4618,4.81s,649.34us,3.15us,649.66us,4.50us,639.56us,680.95us
dictionary/search/english-tiny,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,108,1000000,2.26s,740.00ns,0.00ns,743.00ns,30.00ns,720.00ns,9.85us
dictionary/search/english-tiny,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,108,1000000,2.31s,760.00ns,10.00ns,758.00ns,34.00ns,730.00ns,10.96us
dictionary/search/english-10,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,61436,8502,4.66s,352.46us,4.49us,352.81us,13.16us,340.42us,831.19us
dictionary/search/english-10,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,61436,8814,4.66s,339.02us,1.58us,340.35us,6.17us,334.05us,476.37us
dictionary/search/english-15,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,61436,32207,4.56s,93.01us,110.00ns,93.10us,1.01us,91.28us,110.80us
dictionary/search/english-15,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,61436,32287,4.56s,92.26us,131.00ns,92.87us,2.54us,91.44us,141.37us
folly/awyer-inn-busted,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,80007,5336,4.51s,562.21us,2.48us,562.25us,4.05us,552.52us,655.13us
folly/awyer-inn-busted,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,80007,5532,4.51s,542.53us,1.87us,542.32us,3.41us,534.06us,603.11us
folly/literal-never-match-rare,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,7384531,22564,4.56s,132.35us,559.00ns,132.90us,2.49us,130.19us,174.16us
folly/literal-never-match-rare,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,7384531,24226,4.56s,122.38us,1.00us,123.78us,6.67us,120.12us,232.47us
folly/literal-never-match-frequent,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,7384531,22856,4.56s,130.68us,1.48us,131.20us,5.09us,123.90us,344.49us
folly/literal-never-match-frequent,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,7384531,19749,4.56s,151.66us,90.00ns,151.85us,1.58us,149.95us,196.42us
folly/literal-never-match-tricksy,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,120012,207970,4.63s,14.34us,39.00ns,14.37us,196.00ns,14.18us,33.43us
folly/literal-never-match-tricksy,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,120012,206135,4.62s,14.41us,80.00ns,14.50us,405.00ns,14.25us,37.04us
grep/every-line,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,7384531,645,4.56s,4.65ms,41.72us,4.66ms,66.59us,4.54ms,5.09ms
grep/every-line,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,7384531,638,4.56s,4.67ms,7.44us,4.71ms,189.87us,4.64ms,5.96ms
grep/long-words-ascii,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,7384531,309,4.56s,9.74ms,13.76us,9.74ms,19.53us,9.69ms,9.80ms
grep/long-words-ascii,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,7384531,312,4.56s,9.63ms,37.16us,9.63ms,57.89us,9.51ms,9.80ms
grep/long-words-unicode,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,7384531,302,4.56s,9.97ms,39.80us,9.96ms,55.77us,9.85ms,10.19ms
grep/long-words-unicode,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,7384531,301,4.56s,9.99ms,6.71us,9.99ms,12.35us,9.91ms,10.04ms
hyperscan/literal-english-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613357,271809,4.63s,10.92us,40.00ns,10.98us,835.00ns,10.29us,60.19us
hyperscan/literal-english-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613357,238471,4.63s,12.45us,40.00ns,12.53us,932.00ns,10.02us,66.09us
hyperscan/literal-english-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613357,265527,4.62s,11.21us,109.00ns,11.24us,781.00ns,10.41us,61.14us
hyperscan/literal-english-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613357,230525,4.62s,12.83us,71.00ns,12.96us,624.00ns,10.76us,55.45us
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613357,87514,4.56s,34.15us,320.00ns,34.23us,1.27us,32.74us,95.65us
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613357,86028,4.57s,34.67us,361.00ns,34.80us,1.49us,32.97us,91.84us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613357,85685,4.56s,34.92us,420.00ns,34.96us,712.00ns,33.55us,56.44us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613357,86401,4.56s,34.52us,180.00ns,34.66us,1.47us,33.66us,90.50us
hyperscan/literal-russian-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613423,270086,4.62s,10.98us,60.00ns,11.05us,480.00ns,10.71us,28.97us
hyperscan/literal-russian-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613423,236885,4.62s,12.57us,40.00ns,12.61us,441.00ns,12.42us,26.35us
hyperscan/literal-russian-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613423,275482,4.62s,10.75us,90.00ns,10.84us,455.00ns,10.52us,24.24us
